 
 28911, org.jhotdraw.geom.BezierPathIterator.currentSegment([F)I, 15: Scalability:  Drawings should be as large as possible, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 4, 0, 0, 0, 0
 28912, org.jhotdraw.geom.BezierPathIterator.currentSegment([F)I, 16: Performance: Quickly redraw figures if changed, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 4, 0, 0, 0, 0
 28913, org.jhotdraw.geom.BezierPathIterator.currentSegment([F)I, 17: Performance: Quickly locate figures based on x-y coordinates, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 4, 0, 0, 0, 0
 28914, org.jhotdraw.geom.BezierPathIterator.currentSegment([F)I, 18: Interoperability: Support data exchange via the clipboard, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 4, 0, 0, 0, 0
 28915, org.jhotdraw.geom.BezierPathIterator.currentSegment([F)I, 19: Usability: Support operating system specific user interfaces, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 4, 0, 0, 0, 0
 28916, org.jhotdraw.geom.BezierPathIterator.currentSegment([F)I, 20: Performance: Strive for a short startup latency, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 4, 0, 0, 0, 0
 28917, org.jhotdraw.geom.BezierPathIterator.currentSegment([F)I, 21: Recoverability: periodic auto-save, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 4, 0, 0, 0, 0
 28918, org.jhotdraw.geom.BezierPathIterator.getWindingRule()I, 01: Paint figures and connections, inner, T, T, T, InnerMixedSurroundedT, CT, 2, 1, 0, 1, 0, 0
 28919, org.jhotdraw.geom.BezierPathIterator.getWindingRule()I, 02: Create figures and connections, inner, N, N, N, InnerMixedSurroundedN, CN, 2, 1, 0, 0, 1, 0
 28920, org.jhotdraw.geom.BezierPathIterator.getWindingRule()I, 03: Delete figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 3, 0, 0, 1, 0
 28921, org.jhotdraw.geom.BezierPathIterator.getWindingRule()I, 04: Delete connections, inner, N, N, N, InnerPureSurroundedN, CN, 0, 3, 0, 0, 1, 0
 28922, org.jhotdraw.geom.BezierPathIterator.getWindingRule()I, 05: Select and deselect figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 3, 0, 0, 1, 0
 28923, org.jhotdraw.geom.BezierPathIterator.getWindingRule()I, 06: Move- scale- or rotate figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 3, 0, 0, 1, 0
 28924, org.jhotdraw.geom.BezierPathIterator.getWindingRule()I, 07: Change properties of figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 3, 0, 0, 1, 0
 28925, org.jhotdraw.geom.BezierPathIterator.getWindingRule()I, 08: Edit  text in figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 3, 0, 0, 1, 0
 28926, org.jhotdraw.geom.BezierPathIterator.getWindingRule()I, 09: Align figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 3, 0, 0, 1, 0
 28927, org.jhotdraw.geom.BezierPathIterator.getWindingRule()I, 10: Change z-ordering, inner, N, N, N, InnerPureSurroundedN, CN, 0, 3, 0, 0, 1, 0
 28928, org.jhotdraw.geom.BezierPathIterator.getWindingRule()I, 11: Grouping and ungrouping figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 3, 0, 0, 1, 0
 28929, org.jhotdraw.geom.BezierPathIterator.getWindingRule()I, 12: Launch the application, inner, N, N, N, InnerPureSurroundedN, CN, 0, 3, 0, 0, 1, 0
 28930, org.jhotdraw.geom.BezierPathIterator.getWindingRule()I, 13: Open an existing drawing, inner, N, N, N, InnerPureSurroundedN, CN, 0, 3, 0, 0, 1, 0
 28931, org.jhotdraw.geom.BezierPathIterator.getWindingRule()I, 14: Save a drawing, inner, N, N, N, InnerPureSurroundedN, CN, 0, 3, 0, 0, 1, 0
 28932, org.jhotdraw.geom.BezierPathIterator.getWindingRule()I, 15: Scalability:  Drawings should be as large as possible, inner, N, N, N, InnerPureSurroundedN, CN, 0, 3, 0, 0, 1, 0
 28933, org.jhotdraw.geom.BezierPathIterator.getWindingRule()I, 16: Performance: Quickly redraw figures if changed, inner, N, N, N, InnerPureSurroundedN, CN, 0, 3, 0, 0, 1, 0
 28934, org.jhotdraw.geom.BezierPathIterator.getWindingRule()I, 17: Performance: Quickly locate figures based on x-y coordinates, inner, N, N, N, InnerPureSurroundedN, CN, 0, 3, 0, 0, 1, 0
 28935, org.jhotdraw.geom.BezierPathIterator.getWindingRule()I, 18: Interoperability: Support data exchange via the clipboard, inner, N, N, N, InnerPureSurroundedN, CN, 0, 3, 0, 0, 1, 0
 28936, org.jhotdraw.geom.BezierPathIterator.getWindingRule()I, 19: Usability: Support operating system specific user interfaces, inner, N, N, N, InnerPureSurroundedN, CN, 0, 3, 0, 0, 1, 0
 28937, org.jhotdraw.geom.BezierPathIterator.getWindingRule()I, 20: Performance: Strive for a short startup latency, inner, N, N, N, InnerPureSurroundedN, CN, 0, 3, 0, 0, 1, 0
 28938, org.jhotdraw.geom.BezierPathIterator.getWindingRule()I, 21: Recoverability: periodic auto-save, inner, N, N, N, InnerPureSurroundedN, CN, 0, 3, 0, 0, 1, 0
 28939, org.jhotdraw.geom.BezierPathIterator.isDone()Z, 01: Paint figures and connections, inner, T, T, T, InnerMixedSurroundedT, CT, 8, 2, 0, 1, 0, 0
 28940, org.jhotdraw.geom.BezierPathIterator.isDone()Z, 02: Create figures and connections, inner, N, N, N, InnerMixedSurroundedN, CN, 4, 6, 0, 0, 1, 0
 28941, org.jhotdraw.geom.BezierPathIterator.isDone()Z, 03: Delete figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 10, 0, 0, 1, 0
 28942, org.jhotdraw.geom.BezierPathIterator.isDone()Z, 04: Delete connections, inner, N, N, N, InnerPureSurroundedN, CN, 0, 10, 0, 0, 1, 0
 28943, org.jhotdraw.geom.BezierPathIterator.isDone()Z, 05: Select and deselect figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 10, 0, 0, 1, 0
 28944, org.jhotdraw.geom.BezierPathIterator.isDone()Z, 06: Move- scale- or rotate figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 10, 0, 0, 1, 0
 28945, org.jhotdraw.geom.BezierPathIterator.isDone()Z, 07: Change properties of figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 10, 0, 0, 1, 0
 28946, org.jhotdraw.geom.BezierPathIterator.isDone()Z, 08: Edit  text in figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 10, 0, 0, 1, 0
 28947, org.jhotdraw.geom.BezierPathIterator.isDone()Z, 09: Align figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 10, 0, 0, 1, 0
 28948, org.jhotdraw.geom.BezierPathIterator.isDone()Z, 10: Change z-ordering, inner, N, N, N, InnerPureSurroundedN, CN, 0, 10, 0, 0, 1, 0
 28949, org.jhotdraw.geom.BezierPathIterator.isDone()Z, 11: Grouping and ungrouping figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 10, 0, 0, 1, 0
 28950, org.jhotdraw.geom.BezierPathIterator.isDone()Z, 12: Launch the application, inner, N, N, N, InnerPureSurroundedN, CN, 0, 10, 0, 0, 1, 0
 28951, org.jhotdraw.geom.BezierPathIterator.isDone()Z, 13: Open an existing drawing, inner, N, N, N, InnerPureSurroundedN, CN, 0, 10, 0, 0, 1, 0
 28952, org.jhotdraw.geom.BezierPathIterator.isDone()Z, 14: Save a drawing, inner, N, N, N, InnerPureSurroundedN, CN, 0, 10, 0, 0, 1, 0
 28953, org.jhotdraw.geom.BezierPathIterator.isDone()Z, 15: Scalability:  Drawings should be as large as possible, inner, N, N, N, InnerPureSurroundedN, CN, 0, 10, 0, 0, 1, 0
 28954, org.jhotdraw.geom.BezierPathIterator.isDone()Z, 16: Performance: Quickly redraw figures if changed, inner, N, N, N, InnerPureSurroundedN, CN, 0, 10, 0, 0, 1, 0
 28955, org.jhotdraw.geom.BezierPathIterator.isDone()Z, 17: Performance: Quickly locate figures based on x-y coordinates, inner, N, N, N, InnerPureSurroundedN, CN, 0, 10, 0, 0, 1, 0
 28956, org.jhotdraw.geom.BezierPathIterator.isDone()Z, 18: Interoperability: Support data exchange via the clipboard, inner, N, N, N, InnerPureSurroundedN, CN, 0, 10, 0, 0, 1, 0
 28957, org.jhotdraw.geom.BezierPathIterator.isDone()Z, 19: Usability: Support operating system specific user interfaces, inner, N, N, N, InnerPureSurroundedN, CN, 0, 10, 0, 0, 1, 0
 28958, org.jhotdraw.geom.BezierPathIterator.isDone()Z, 20: Performance: Strive for a short startup latency, inner, N, N, N, InnerPureSurroundedN, CN, 0, 10, 0, 0, 1, 0
 28959, org.jhotdraw.geom.BezierPathIterator.isDone()Z, 21: Recoverability: periodic auto-save, inner, N, N, N, InnerPureSurroundedN, CN, 0, 10, 0, 0, 1, 0
 28960, org.jhotdraw.geom.BezierPathIterator.next()V, 01: Paint figures and connections, inner, T, T, T, InnerMixedSurroundedT, CT, 6, 2, 0, 1, 0, 0
 28961, org.jhotdraw.geom.BezierPathIterator.next()V, 02: Create figures and connections, inner, N, N, N, InnerMixedSurroundedN, CN, 4, 4, 0, 0, 1, 0
 28962, org.jhotdraw.geom.BezierPathIterator.next()V, 03: Delete figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 8, 0, 0, 1, 0
 28963, org.jhotdraw.geom.BezierPathIterator.next()V, 04: Delete connections, inner, N, N, N, InnerPureSurroundedN, CN, 0, 8, 0, 0, 1, 0
 28964, org.jhotdraw.geom.BezierPathIterator.next()V, 05: Select and deselect figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 8, 0, 0, 1, 0
 28965, org.jhotdraw.geom.BezierPathIterator.next()V, 06: Move- scale- or rotate figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 8, 0, 0, 1, 0
 28966, org.jhotdraw.geom.BezierPathIterator.next()V, 07: Change properties of figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 8, 0, 0, 1, 0
 28967, org.jhotdraw.geom.BezierPathIterator.next()V, 08: Edit  text in figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 8, 0, 0, 1, 0
 28968, org.jhotdraw.geom.BezierPathIterator.next()V, 09: Align figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 8, 0, 0, 1, 0
 28969, org.jhotdraw.geom.BezierPathIterator.next()V, 10: Change z-ordering, inner, N, N, N, InnerPureSurroundedN, CN, 0, 8, 0, 0, 1, 0
 28970, org.jhotdraw.geom.BezierPathIterator.next()V, 11: Grouping and ungrouping figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 8, 0, 0, 1, 0
 28971, org.jhotdraw.geom.BezierPathIterator.next()V, 12: Launch the application, inner, N, N, N, InnerPureSurroundedN, CN, 0, 8, 0, 0, 1, 0
 28972, org.jhotdraw.geom.BezierPathIterator.next()V, 13: Open an existing drawing, inner, N, N, N, InnerPureSurroundedN, CN, 0, 8, 0, 0, 1, 0
 28973, org.jhotdraw.geom.BezierPathIterator.next()V, 14: Save a drawing, inner, N, N, N, InnerPureSurroundedN, CN, 0, 8, 0, 0, 1, 0
 28974, org.jhotdraw.geom.BezierPathIterator.next()V, 15: Scalability:  Drawings should be as large as possible, inner, N, N, N, InnerPureSurroundedN, CN, 0, 8, 0, 0, 1, 0
 28975, org.jhotdraw.geom.BezierPathIterator.next()V, 16: Performance: Quickly redraw figures if changed, inner, N, N, N, InnerPureSurroundedN, CN, 0, 8, 0, 0, 1, 0
 28976, org.jhotdraw.geom.BezierPathIterator.next()V, 17: Performance: Quickly locate figures based on x-y coordinates, inner, N, N, N, InnerPureSurroundedN, CN, 0, 8, 0, 0, 1, 0
 28977, org.jhotdraw.geom.BezierPathIterator.next()V, 18: Interoperability: Support data exchange via the clipboard, inner, N, N, N, InnerPureSurroundedN, CN, 0, 8, 0, 0, 1, 0
 28978, org.jhotdraw.geom.BezierPathIterator.next()V, 19: Usability: Support operating system specific user interfaces, inner, N, N, N, InnerPureSurroundedN, CN, 0, 8, 0, 0, 1, 0
 28979, org.jhotdraw.geom.BezierPathIterator.next()V, 20: Performance: Strive for a short startup latency, inner, N, N, N, InnerPureSurroundedN, CN, 0, 8, 0, 0, 1, 0
 28980, org.jhotdraw.geom.BezierPathIterator.next()V, 21: Recoverability: periodic auto-save, inner, N, N, N, InnerPureSurroundedN, CN, 0, 8, 0, 0, 1, 0
 28981, org.jhotdraw.geom.Dimension2DDouble.-init-(DD)V, 01: Paint figures and connections, leaf, N, N, T, LeafMixedSurroundedT, IN, 1, 1, 0, 0, 0, 0
 28982, org.jhotdraw.geom.Dimension2DDouble.-init-(DD)V, 02: Create figures and connections, leaf, N, N, T, LeafMixedSurroundedT, IN, 1, 1, 0, 0, 0, 0
 28983, org.jhotdraw.geom.Dimension2DDouble.-init-(DD)V, 03: Delete figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 28984, org.jhotdraw.geom.Dimension2DDouble.-init-(DD)V, 04: Delete connections, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 28985, org.jhotdraw.geom.Dimension2DDouble.-init-(DD)V, 05: Select and deselect figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 28986, org.jhotdraw.geom.Dimension2DDouble.-init-(DD)V, 06: Move- scale- or rotate figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 28987, org.jhotdraw.geom.Dimension2DDouble.-init-(DD)V, 07: Change properties of figures, leaf, N, N, T, LeafMixedSurroundedT, IN, 1, 1, 0, 0, 0, 0
 28988, org.jhotdraw.geom.Dimension2DDouble.-init-(DD)V, 08: Edit  text in figures, leaf, N, N, T, LeafMixedSurroundedT, IN, 1, 1, 0, 0, 0, 0
 28989, org.jhotdraw.geom.Dimension2DDouble.-init-(DD)V, 09: Align figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 28990, org.jhotdraw.geom.Dimension2DDouble.-init-(DD)V, 10: Change z-ordering, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 28991, org.jhotdraw.geom.Dimension2DDouble.-init-(DD)V, 11: Grouping and ungrouping figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 28992, org.jhotdraw.geom.Dimension2DDouble.-init-(DD)V, 12: Launch the application, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 28993, org.jhotdraw.geom.Dimension2DDouble.-init-(DD)V, 13: Open an existing drawing, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 28994, org.jhotdraw.geom.Dimension2DDouble.-init-(DD)V, 14: Save a drawing, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 28995, org.jhotdraw.geom.Dimension2DDouble.-init-(DD)V, 15: Scalability:  Drawings should be as large as possible, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 28996, org.jhotdraw.geom.Dimension2DDouble.-init-(DD)V, 16: Performance: Quickly redraw figures if changed, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 28997, org.jhotdraw.geom.Dimension2DDouble.-init-(DD)V, 17: Performance: Quickly locate figures based on x-y coordinates, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 28998, org.jhotdraw.geom.Dimension2DDouble.-init-(DD)V, 18: Interoperability: Support data exchange via the clipboard, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 28999, org.jhotdraw.geom.Dimension2DDouble.-init-(DD)V, 19: Usability: Support operating system specific user interfaces, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 29000, org.jhotdraw.geom.Dimension2DDouble.-init-(DD)V, 20: Performance: Strive for a short startup latency, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 29001, org.jhotdraw.geom.Dimension2DDouble.-init-(DD)V, 21: Recoverability: periodic auto-save, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 2, 0, 0, 0, 0
 29002, org.jhotdraw.geom.DoubleStroke.-init-(FF)V, 01: Paint figures and connections, inner, T, T, F, InnerBoundary, IT, 0, 1, 0, 1, 0, 0
 29003, org.jhotdraw.geom.DoubleStroke.-init-(FF)V, 02: Create figures and connections, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 29004, org.jhotdraw.geom.DoubleStroke.-init-(FF)V, 03: Delete figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 29005, org.jhotdraw.geom.DoubleStroke.-init-(FF)V, 04: Delete connections, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 29006, org.jhotdraw.geom.DoubleStroke.-init-(FF)V, 05: Select and deselect figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 29007, org.jhotdraw.geom.DoubleStroke.-init-(FF)V, 06: Move- scale- or rotate figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 29008, org.jhotdraw.geom.DoubleStroke.-init-(FF)V, 07: Change properties of figures, inner, N, N, F, InnerBoundary, IN, 1, 0, 0, 0, 1, 0
 29009, org.jhotdraw.geom.DoubleStroke.-init-(FF)V, 08: Edit  text in figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 29010, org.jhotdraw.geom.DoubleStroke.-init-(FF)V, 09: Align figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 29011, org.jhotdraw.geom.DoubleStroke.-init-(FF)V, 10: Change z-ordering, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 29012, org.jhotdraw.geom.DoubleStroke.-init-(FF)V, 11: Grouping and ungrouping figures, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 29013, org.jhotdraw.geom.DoubleStroke.-init-(FF)V, 12: Launch the application, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 29014, org.jhotdraw.geom.DoubleStroke.-init-(FF)V, 13: Open an existing drawing, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 29015, org.jhotdraw.geom.DoubleStroke.-init-(FF)V, 14: Save a drawing, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 29016, org.jhotdraw.geom.DoubleStroke.-init-(FF)V, 15: Scalability:  Drawings should be as large as possible, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 29017, org.jhotdraw.geom.DoubleStroke.-init-(FF)V, 16: Performance: Quickly redraw figures if changed, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 29018, org.jhotdraw.geom.DoubleStroke.-init-(FF)V, 17: Performance: Quickly locate figures based on x-y coordinates, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 29019, org.jhotdraw.geom.DoubleStroke.-init-(FF)V, 18: Interoperability: Support data exchange via the clipboard, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 29020, org.jhotdraw.geom.DoubleStroke.-init-(FF)V, 19: Usability: Support operating system specific user interfaces, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 29021, org.jhotdraw.geom.DoubleStroke.-init-(FF)V, 20: Performance: Strive for a short startup latency, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 29022, org.jhotdraw.geom.DoubleStroke.-init-(FF)V, 21: Recoverability: periodic auto-save, inner, N, N, N, InnerPureSurroundedN, CN, 0, 1, 0, 0, 1, 0
 29023, org.jhotdraw.geom.DoubleStroke.-init-(FFIIF[FF)V, 01: Paint figures and connections, leaf, T, T, T, LeafMixedSurroundedT, CT, 2, 1, 0, 0, 0, 0
 29024, org.jhotdraw.geom.DoubleStroke.-init-(FFIIF[FF)V, 02: Create figures and connections, leaf, N, N, N, LeafMixedSurroundedN, CN, 0, 3, 0, 0, 0, 0
 29025, org.jhotdraw.geom.DoubleStroke.-init-(FFIIF[FF)V, 03: Delete figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 3, 0, 0, 0, 0
 29026, org.jhotdraw.geom.DoubleStroke.-init-(FFIIF[FF)V, 04: Delete connections, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 3, 0, 0, 0, 0
 29027, org.jhotdraw.geom.DoubleStroke.-init-(FFIIF[FF)V, 05: Select and deselect figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 3, 0, 0, 0, 0
 29028, org.jhotdraw.geom.DoubleStroke.-init-(FFIIF[FF)V, 06: Move- scale- or rotate figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 3, 0, 0, 0, 0
 29029, org.jhotdraw.geom.DoubleStroke.-init-(FFIIF[FF)V, 07: Change properties of figures, leaf, N, N, T, LeafMixedSurroundedT, IN, 1, 2, 0, 0, 0, 0
 29030, org.jhotdraw.geom.DoubleStroke.-init-(FFIIF[FF)V, 08: Edit  text in figures, leaf, N, N, N, LeafPureSurroundedN, CN, 0, 3, 0, 0, 0, 0
