MethodID, MethodName, RequirementID, RequirementName, ClassID, ClassName, Gold, Subject, OwnerClassT, OwnerClassN, OwnerClassE, #callermethods, #callermethodsT, #callermethodsN, #callermethodsE, #callerclasses, #callerclassesT, #callerclassesN, #callerclassesE, #calleemethods, #calleemethodsT, #calleemethodsN, #calleemethodsE, #calleeclasses, #calleeclassesT, #calleeclassesN, #calleeclassesE, CalleePrediction, CallerPrediction
6,de.java_chess.javaChess.GameController.gameOver,1,R0,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,1,0,0,1,1,0,0,2,2,0,0,2,2,0,0,null,null
6,de.java_chess.javaChess.GameController.gameOver,2,R1,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,2,1,1,0,null,null
6,de.java_chess.javaChess.GameController.gameOver,3,R2,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,2,0,2,0,null,null
6,de.java_chess.javaChess.GameController.gameOver,4,R3,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,1,0,0,1,1,0,0,2,2,0,0,2,2,0,0,null,null
6,de.java_chess.javaChess.GameController.gameOver,5,R4,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,2,1,1,0,null,null
6,de.java_chess.javaChess.GameController.gameOver,6,R5,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,1,0,0,1,1,0,0,2,2,0,0,2,2,0,0,null,null
6,de.java_chess.javaChess.GameController.gameOver,7,R6,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,1,0,0,1,1,0,0,2,2,0,0,2,2,0,0,null,null
6,de.java_chess.javaChess.GameController.gameOver,8,R7,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,2,0,2,0,null,null
7,de.java_chess.javaChess.GameController.getBoard,1,R0,1,de.java_chess.javaChess.GameController,T,T,1,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,null,null
7,de.java_chess.javaChess.GameController.getBoard,2,R1,1,de.java_chess.javaChess.GameController,N,N,0,1,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,null,null
7,de.java_chess.javaChess.GameController.getBoard,3,R2,1,de.java_chess.javaChess.GameController,N,N,0,1,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,null,null
7,de.java_chess.javaChess.GameController.getBoard,4,R3,1,de.java_chess.javaChess.GameController,T,T,1,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,null,null
7,de.java_chess.javaChess.GameController.getBoard,5,R4,1,de.java_chess.javaChess.GameController,N,N,0,1,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,null,null
7,de.java_chess.javaChess.GameController.getBoard,6,R5,1,de.java_chess.javaChess.GameController,T,T,1,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,null,null
7,de.java_chess.javaChess.GameController.getBoard,7,R6,1,de.java_chess.javaChess.GameController,T,T,1,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,null,null
7,de.java_chess.javaChess.GameController.getBoard,8,R7,1,de.java_chess.javaChess.GameController,N,N,0,1,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,null,null
8,de.java_chess.javaChess.GameController.getEngine,1,R0,1,de.java_chess.javaChess.GameController,T,T,1,0,0,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,null,null
8,de.java_chess.javaChess.GameController.getEngine,2,R1,1,de.java_chess.javaChess.GameController,N,N,0,1,0,3,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,null,null
8,de.java_chess.javaChess.GameController.getEngine,3,R2,1,de.java_chess.javaChess.GameController,N,N,0,1,0,3,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,null,null
8,de.java_chess.javaChess.GameController.getEngine,4,R3,1,de.java_chess.javaChess.GameController,T,T,1,0,0,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,null,null
8,de.java_chess.javaChess.GameController.getEngine,5,R4,1,de.java_chess.javaChess.GameController,N,N,0,1,0,3,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,null,null
8,de.java_chess.javaChess.GameController.getEngine,6,R5,1,de.java_chess.javaChess.GameController,T,T,1,0,0,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,null,null
8,de.java_chess.javaChess.GameController.getEngine,7,R6,1,de.java_chess.javaChess.GameController,T,T,1,0,0,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,null,null
8,de.java_chess.javaChess.GameController.getEngine,8,R7,1,de.java_chess.javaChess.GameController,N,N,0,1,0,3,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,null,null
9,de.java_chess.javaChess.GameController.getGame,1,R0,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,null,null
9,de.java_chess.javaChess.GameController.getGame,2,R1,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,null,null
9,de.java_chess.javaChess.GameController.getGame,3,R2,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,null,null
9,de.java_chess.javaChess.GameController.getGame,4,R3,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,null,null
9,de.java_chess.javaChess.GameController.getGame,5,R4,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,null,null
9,de.java_chess.javaChess.GameController.getGame,6,R5,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,null,null
9,de.java_chess.javaChess.GameController.getGame,7,R6,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,null,null
9,de.java_chess.javaChess.GameController.getGame,8,R7,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,null,null
10,de.java_chess.javaChess.GameController.getGameNotation,1,R0,1,de.java_chess.javaChess.GameController,T,T,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,null,null
10,de.java_chess.javaChess.GameController.getGameNotation,2,R1,1,de.java_chess.javaChess.GameController,N,N,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,null,null
