OWNER CLASS PREDICTION: PredictionEvaluation [TruePositive=0, TrueNegative=21046, FalsePositive=0, FalseNegative=8732]
MAJORITY CLASS LEVEL CALLERS PREDICTION: PredictionEvaluation [TruePositive=1049, TrueNegative=11570, FalsePositive=1677, FalseNegative=4841]
MAJORITY CLASS LEVEL CALLEES PREDICTION: PredictionEvaluation [TruePositive=1779, TrueNegative=16520, FalsePositive=3870, FalseNegative=6133]
MAJORITY METHOD LEVEL CALLERS PREDICTION: PredictionEvaluation [TruePositive=1032, TrueNegative=11548, FalsePositive=1699, FalseNegative=4858]
MAJORITY METHOD LEVEL CALLEES PREDICTION: PredictionEvaluation [TruePositive=1766, TrueNegative=16434, FalsePositive=3956, FalseNegative=6146]
AT LEAST 1 N PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=12242, FalsePositive=0, FalseNegative=5257]
AT LEAST 1 N PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=17786, FalsePositive=0, FalseNegative=6428]
AT LEAST 1 N PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=12242, FalsePositive=0, FalseNegative=5257]
AT LEAST 1 N PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=17786, FalsePositive=0, FalseNegative=6428]
AT LEAST 1 T PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=1503, TrueNegative=0, FalsePositive=2751, FalseNegative=0]
AT LEAST 1 T PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=1899, TrueNegative=0, FalsePositive=4820, FalseNegative=0]
AT LEAST 1 T PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=1503, TrueNegative=0, FalsePositive=2751, FalseNegative=0]
AT LEAST 1 T PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=1899, TrueNegative=0, FalsePositive=4820, FalseNegative=0]
AT LEAST 2 N PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=5640, FalsePositive=0, FalseNegative=2038]
AT LEAST 2 N PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=6287, FalsePositive=0, FalseNegative=1104]
AT LEAST 2 N PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=7871, FalsePositive=0, FalseNegative=2957]
AT LEAST 2 N PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=10328, FalsePositive=0, FalseNegative=2631]
AT LEAST 2 T PREDICTION CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=393, TrueNegative=0, FalsePositive=604, FalseNegative=0]
AT LEAST 2 T PREDICTION CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=275, TrueNegative=0, FalsePositive=783, FalseNegative=0]
AT LEAST 2 T PREDICTION METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=810, TrueNegative=0, FalsePositive=1522, FalseNegative=0]
AT LEAST 2 T PREDICTION METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=834, TrueNegative=0, FalsePositive=2197, FalseNegative=0]
ALL N CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=10020, FalsePositive=0, FalseNegative=4014]
ALL N CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=14708, FalsePositive=0, FalseNegative=5910]
ALL N METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=0, TrueNegative=10020, FalsePositive=0, FalseNegative=4014]
ALL N METHOD LEVEL CALLEES: PredictionEvaluation [TruePositive=0, TrueNegative=14708, FalsePositive=0, FalseNegative=5910]
ALL T CLASS LEVEL CALLERS: PredictionEvaluation [TruePositive=622, TrueNegative=0, FalsePositive=977, FalseNegative=0]
ALL T CLASS LEVEL CALLEES: PredictionEvaluation [TruePositive=1437, TrueNegative=0, FalsePositive=2503, FalseNegative=0]
ALL T METHOD LEVEL CALLERS: PredictionEvaluation [TruePositive=622, TrueNegative=0, FalsePositive=977, FalseNegative=0]
MAJORITY PARAMETERS CLASS: PredictionEvaluation [TruePositive=871, TrueNegative=7292, FalsePositive=1785, FalseNegative=2772]
AT LEAST 1N PARAMETER CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=7653, FalsePositive=0, FalseNegative=2900]
AT LEAST 1T PARAMETER CLASS: PredictionEvaluation [TruePositive=948, TrueNegative=0, FalsePositive=1857, FalseNegative=0]
AT LEAST 2T PARAMETER CLASS: PredictionEvaluation [TruePositive=176, TrueNegative=0, FalsePositive=261, FalseNegative=0]
AT LEAST 2N PARAMETER CLASS: PredictionEvaluation [TruePositive=0, TrueNegative=826, FalsePositive=0, FalseNegative=477]
ALL N PARAMETERS: PredictionEvaluation [TruePositive=0, TrueNegative=7220, FalsePositive=0, FalseNegative=2695]
ALL T PARAMETERS: PredictionEvaluation [TruePositive=743, TrueNegative=0, FalsePositive=1424, FalseNegative=0]
